12-15-2018 20:30:09,N13,513
12-15-2018 20:30:09,N14,270
12-15-2018 20:30:16,P10,284
12-15-2018 20:30:16,P11,347
12-15-2018 20:30:16,P12,274
12-15-2018 20:30:23,F20,348
12-15-2018 20:30:23,F2T,66.20
12-15-2018 20:30:23,F2H,61.00
12-15-2018 21:00:01,F10,502
12-15-2018 21:00:01,F1T,68.00
12-15-2018 21:00:01,F1H,21.00
12-15-2018 21:00:09,N10,544
12-15-2018 21:00:09,N11,412
12-15-2018 21:00:09,N12,419
12-15-2018 21:00:09,N13,514
12-15-2018 21:00:09,N14,271
12-15-2018 21:00:16,P10,284
12-15-2018 21:00:16,P11,347
12-15-2018 21:00:16,P12,274
12-15-2018 21:00:23,F20,348
12-15-2018 21:00:23,F2T,66.20
12-15-2018 21:00:23,F2H,61.00
12-15-2018 21:30:01,F10,506
12-15-2018 21:30:01,F1T,68.00
12-15-2018 21:30:01,F1H,21.00
12-15-2018 21:30:09,N10,545
12-15-2018 21:30:09,N11,414
12-15-2018 21:30:09,N12,411
12-15-2018 21:30:09,N13,514
12-15-2018 21:30:09,N14,272
12-15-2018 21:30:16,P10,286
12-15-2018 21:30:16,P11,352
12-15-2018 21:30:16,P12,277
12-15-2018 21:30:23,F20,346
12-15-2018 21:30:23,F2T,66.20
12-15-2018 21:30:23,F2H,61.00
12-15-2018 22:00:01,F10,507
12-15-2018 22:00:01,F1T,68.00
12-15-2018 22:00:01,F1H,20.00
12-15-2018 22:00:09,N10,547
12-15-2018 22:00:09,N11,417
12-15-2018 22:00:09,N12,421
12-15-2018 22:00:09,N13,517
12-15-2018 22:00:09,N14,274
12-15-2018 22:00:16,P10,284
12-15-2018 22:00:16,P11,351
12-15-2018 22:00:16,P12,277
12-15-2018 22:00:23,F20,350
12-15-2018 22:00:23,F2T,64.40
12-15-2018 22:00:23,F2H,62.00
12-15-2018 22:30:01,F10,509
12-15-2018 22:30:01,F1T,68.00
12-15-2018 22:30:01,F1H,21.00
12-15-2018 22:30:09,N10,550
12-15-2018 22:30:09,N11,420
12-15-2018 22:30:09,N12,428
12-15-2018 22:30:09,N13,515
12-15-2018 22:30:09,N14,274
12-15-2018 22:30:16,P10,287
12-15-2018 22:30:16,P11,352
12-15-2018 22:30:16,P12,280
12-15-2018 22:30:23,F20,352
12-15-2018 22:30:23,F2T,64.40
12-15-2018 22:30:23,F2H,62.00
12-15-2018 23:00:01,F10,512
12-15-2018 23:00:01,F1T,68.00
12-15-2018 23:00:01,F1H,21.00
12-15-2018 23:00:09,N10,552
12-15-2018 23:00:09,N11,422
12-15-2018 23:00:09,N12,428
12-15-2018 23:00:09,N13,515
12-15-2018 23:00:09,N14,275
12-15-2018 23:00:16,P10,284
12-15-2018 23:00:16,P11,353
12-15-2018 23:00:16,P12,279
12-15-2018 23:00:23,F20,349
12-15-2018 23:00:23,F2T,64.40
12-15-2018 23:00:23,F2H,61.00
12-15-2018 23:30:01,F10,516
12-15-2018 23:30:01,F1T,68.00
12-15-2018 23:30:01,F1H,21.00
12-15-2018 23:30:09,N10,554
12-15-2018 23:30:09,N11,427
12-15-2018 23:30:09,N12,434
12-15-2018 23:30:09,N13,517
12-15-2018 23:30:09,N14,276
12-15-2018 23:30:16,P10,286
12-15-2018 23:30:16,P11,356
12-15-2018 23:30:16,P12,279
12-15-2018 23:30:23,F20,351
12-15-2018 23:30:23,F2T,64.40
12-15-2018 23:30:23,F2H,61.00
12-16-2018 00:00:01,F10,515
12-16-2018 00:00:01,F1T,68.00
12-16-2018 00:00:01,F1H,21.00
12-16-2018 00:00:09,N10,553
12-16-2018 00:00:09,N11,429
12-16-2018 00:00:09,N12,445
12-16-2018 00:00:09,N13,518
12-16-2018 00:00:09,N14,276
12-16-2018 00:00:16,P10,287
