time,sensor,data
12-25-2018 08:00:01,F10,460
12-25-2018 08:00:01,F1T,81.86
12-25-2018 08:00:01,F1H,32.90
12-25-2018 08:00:08,N10,384
12-25-2018 08:00:08,N11,320
12-25-2018 08:00:08,N12,295
12-25-2018 08:00:08,N1T,81.68
12-25-2018 08:00:08,N1H,99.90
12-25-2018 08:00:15,P10,491
12-25-2018 08:00:15,P11,413
12-25-2018 08:00:15,P12,379
12-25-2018 08:00:15,P1T,70.34
12-25-2018 08:00:15,P1H,61.80
12-25-2018 08:00:23,F20,539
12-25-2018 08:00:23,F2T,74.66
12-25-2018 08:00:23,F2H,46.90
12-25-2018 08:30:01,F10,461
12-25-2018 08:30:01,F1T,82.04
12-25-2018 08:30:01,F1H,32.70
12-25-2018 08:30:09,N10,383
12-25-2018 08:30:09,N11,317
12-25-2018 08:30:09,N12,289
12-25-2018 08:30:09,N1T,82.58
12-25-2018 08:30:09,N1H,99.90
12-25-2018 08:30:16,P10,493
12-25-2018 08:30:16,P11,407
12-25-2018 08:30:16,P12,376
12-25-2018 08:30:16,P1T,70.34
12-25-2018 08:30:16,P1H,59.60
12-25-2018 08:30:23,F20,539
12-25-2018 08:30:23,F2T,74.84
12-25-2018 08:30:23,F2H,46.50
12-25-2018 09:00:01,F10,455
12-25-2018 09:00:01,F1T,82.22
12-25-2018 09:00:01,F1H,32.40
12-25-2018 09:00:08,N10,384
12-25-2018 09:00:08,N11,316
12-25-2018 09:00:08,N12,292
12-25-2018 09:00:08,N1T,83.12
12-25-2018 09:00:08,N1H,99.90
12-25-2018 09:00:16,P10,493
12-25-2018 09:00:16,P11,407
12-25-2018 09:00:16,P12,374
12-25-2018 09:00:16,P1T,70.52
12-25-2018 09:00:16,P1H,59.30
12-25-2018 09:00:23,F20,539
12-25-2018 09:00:23,F2T,74.84
12-25-2018 09:00:23,F2H,46.30
12-25-2018 09:30:01,F10,466
12-25-2018 09:30:01,F1T,82.40
12-25-2018 09:30:01,F1H,32.00
12-25-2018 09:30:09,N10,379
12-25-2018 09:30:09,N11,317
12-25-2018 09:30:09,N12,289
12-25-2018 09:30:09,N1T,83.30
12-25-2018 09:30:09,N1H,99.90
12-25-2018 09:30:16,P10,495
12-25-2018 09:30:16,P11,408
12-25-2018 09:30:16,P12,376
12-25-2018 09:30:16,P1T,70.70
12-25-2018 09:30:16,P1H,57.40
12-25-2018 09:30:24,F20,541
12-25-2018 09:30:24,F2T,75.38
12-25-2018 09:30:24,F2H,46.10
12-25-2018 10:00:01,F10,464
12-25-2018 10:00:01,F1T,82.58
12-25-2018 10:00:01,F1H,32.00
12-25-2018 10:00:08,N10,381
12-25-2018 10:00:08,N11,314
12-25-2018 10:00:08,N12,290
12-25-2018 10:00:08,N1T,83.66
12-25-2018 10:00:08,N1H,99.90
12-25-2018 10:00:16,P10,497
12-25-2018 10:00:16,P11,414
12-25-2018 10:00:16,P12,375
12-25-2018 10:00:16,P1T,71.06
12-25-2018 10:00:16,P1H,56.30
12-25-2018 10:00:23,F20,538
12-25-2018 10:00:23,F2T,75.56
12-25-2018 10:00:23,F2H,45.90
12-25-2018 10:30:01,F10,465
12-25-2018 10:30:01,F1T,82.76
12-25-2018 10:30:01,F1H,32.20
12-25-2018 10:30:08,N10,377
12-25-2018 10:30:08,N11,315
12-25-2018 10:30:08,N12,288
12-25-2018 10:30:08,N1T,83.84
12-25-2018 10:30:08,N1H,99.90
12-25-2018 10:30:15,P10,494
12-25-2018 10:30:15,P11,411
12-25-2018 10:30:15,P12,377
12-25-2018 10:30:15,P1T,71.06
12-25-2018 10:30:15,P1H,55.20
12-25-2018 10:30:23,F20,536
12-25-2018 10:30:23,F2T,75.56
12-25-2018 10:30:23,F2H,46.00
12-25-2018 11:00:01,F10,469
12-25-2018 11:00:01,F1T,82.58
12-25-2018 11:00:01,F1H,32.00
12-25-2018 11:00:09,N10,378
12-25-2018 11:00:09,N11,317
12-25-2018 11:00:09,N12,288
12-25-2018 11:00:09,N1T,84.02
12-25-2018 11:00:09,N1H,99.90
12-25-2018 11:00:16,P10,493
12-25-2018 11:00:16,P11,405
12-25-2018 11:00:16,P12,375
12-25-2018 11:00:16,P1T,70.88
12-25-2018 11:00:16,P1H,56.30
12-25-2018 11:00:23,F20,537
12-25-2018 11:00:23,F2T,75.38
12-25-2018 11:00:23,F2H,45.90
12-25-2018 11:30:01,F10,474
12-25-2018 11:30:01,F1T,82.58
12-25-2018 11:30:01,F1H,32.00
12-25-2018 11:30:08,N10,379
12-25-2018 11:30:08,N11,318
12-25-2018 11:30:08,N12,288
12-25-2018 11:30:08,N1T,84.02
12-25-2018 11:30:08,N1H,99.90
12-25-2018 11:30:16,P10,489
12-25-2018 11:30:16,P11,409
12-25-2018 11:30:16,P12,375
12-25-2018 11:30:16,P1T,70.88
12-25-2018 11:30:16,P1H,54.50
12-25-2018 11:30:23,F20,537
12-25-2018 11:30:23,F2T,75.38
12-25-2018 11:30:23,F2H,45.80
12-25-2018 12:00:01,F10,476
12-25-2018 12:00:01,F1T,82.58
12-25-2018 12:00:01,F1H,32.00
12-25-2018 12:00:09,N10,378
12-25-2018 12:00:09,N11,318
12-25-2018 12:00:09,N12,287
12-25-2018 12:00:09,N1T,84.02
12-25-2018 12:00:09,N1H,99.90
12-25-2018 12:00:16,P10,490
12-25-2018 12:00:16,P11,407
12-25-2018 12:00:16,P12,372
12-25-2018 12:00:16,P1T,70.88
12-25-2018 12:00:16,P1H,54.50
12-25-2018 12:00:23,F20,542
12-25-2018 12:00:23,F2T,75.56
12-25-2018 12:00:23,F2H,46.00
12-25-2018 12:30:01,F10,475
12-25-2018 12:30:01,F1T,82.76
12-25-2018 12:30:01,F1H,32.30
12-25-2018 12:30:08,N10,380
12-25-2018 12:30:08,N11,320
12-25-2018 12:30:08,N12,290
12-25-2018 12:30:08,N1T,84.38
12-25-2018 12:30:08,N1H,99.90
12-25-2018 12:30:16,P10,498
12-25-2018 12:30:16,P11,407
12-25-2018 12:30:16,P12,374
12-25-2018 12:30:16,P1T,71.06
12-25-2018 12:30:16,P1H,55.40
12-25-2018 12:30:23,F20,544
12-25-2018 12:30:23,F2T,75.74
12-25-2018 12:30:23,F2H,46.10
12-25-2018 13:00:01,F10,483
12-25-2018 13:00:01,F1T,82.76
12-25-2018 13:00:01,F1H,32.40
12-25-2018 13:00:09,N10,371
12-25-2018 13:00:09,N11,318
12-25-2018 13:00:09,N12,293
12-25-2018 13:00:09,N1T,84.38
12-25-2018 13:00:09,N1H,99.90
12-25-2018 13:00:16,P10,502
12-25-2018 13:00:16,P11,412
12-25-2018 13:00:16,P12,376
12-25-2018 13:00:16,P1T,71.06
12-25-2018 13:00:16,P1H,56.30
12-25-2018 13:00:24,F20,544
12-25-2018 13:00:24,F2T,75.74
12-25-2018 13:00:24,F2H,46.40
12-25-2018 13:30:01,F10,487
12-25-2018 13:30:01,F1T,82.76
12-25-2018 13:30:01,F1H,32.70
12-25-2018 13:30:08,N10,368
12-25-2018 13:30:08,N11,319
12-25-2018 13:30:08,N12,293
12-25-2018 13:30:08,N1T,84.56
12-25-2018 13:30:08,N1H,99.90
12-25-2018 13:30:16,P10,501
12-25-2018 13:30:16,P11,409
12-25-2018 13:30:16,P12,374
12-25-2018 13:30:16,P1T,71.06
12-25-2018 13:30:16,P1H,58.10
12-25-2018 13:30:23,F20,544
12-25-2018 13:30:23,F2T,75.56
12-25-2018 13:30:23,F2H,46.80
12-25-2018 14:00:02,F10,491
12-25-2018 14:00:02,F1T,82.94
12-25-2018 14:00:02,F1H,32.70
12-25-2018 14:00:09,N10,380
12-25-2018 14:00:09,N11,317
12-25-2018 14:00:09,N12,293
12-25-2018 14:00:09,N1T,84.56
12-25-2018 14:00:09,N1H,99.90
12-25-2018 14:00:16,P10,501
12-25-2018 14:00:16,P11,410
12-25-2018 14:00:16,P12,380
